TotalMoney,GameName,Genre,PlayerNo,TournamentNo,Top_Country,Top_Country_Earnings
190.95,Cultris II,Puzzle Game,3,1,Mexico,100.5
50300,Day of Defeat,First-Person Shooter,37,3,United States,19400.04
14068.57,Day of Defeat: Source,First-Person Shooter,50,8,France,6386.38
15000,Dead By Daylight,Strategy,15,3,United States,13125
497745.31,Dead or Alive 4,Fighting Game,45,13,United States,228250
0,Dead or Alive 5,Fighting Game,4,2,Japan,0
0,Dead or Alive 5 Ultimate,Fighting Game,37,7,Netherlands,0
8163.82,Dead or Alive 5: Last Round,Fighting Game,45,19,United States,7347.04
64232.54,Dead or Alive 6,Fighting Game,63,18,United States,34568.23
30000,Dead or Alive Ultimate,Fighting Game,3,1,Japan,15000
170,Def Jam: Fight for NY,Fighting Game,3,1,United States,170
857420.65,Defense of the Ancients,Multiplayer Online Battle Arena,468,94,China,454766.87
60,Dengeki Bunko: Fighting Climax,Fighting Game,3,1,United States,60
2852.8,Dengeki Bunko: Fighting Climax Ignition,Fighting Game,31,10,United States,1215.05
50000,Descent 3,First-Person Shooter,1,1,United States,50000
32900.19,Diabotical,First-Person Shooter,111,31,United States,17033.59
70,Digimon Rumble Arena,Fighting Game,3,1,United States,70
10000,Dirt Rally 2.0,Racing,5,2,Finland,2500
5840,Divekick,Fighting Game,27,11,United States,5820
0,Dofus,Multiplayer Online Battle Arena,0,0,None,0
7000,Doom (2016),First-Person Shooter,6,1,United States,7000
257748.16,Doom 3,First-Person Shooter,14,4,China,144748.16
1000,Doom II: Hell on Earth,First-Person Shooter,1,2,United States,1000
227419904.5,Dota 2,Multiplayer Online Battle Arena,3836,1434,China,65060611.47
26024.18,Dota Underlords,Strategy,62,36,Russian Federation,12655.84
337985.4,Dragon Ball FighterZ,Fighting Game,159,73,Japan,166119.31
204.06,Dragon Ball Z: Budokai 3,Fighting Game,3,1,Canada,204.06
0,Dream league Soccer,Sports,0,0,None,0
250,Duck Game,Fighting Game,3,1,United States,150
0,Echo Arena,First-Person Shooter,0,0,None,0
0,Endgods,Strategy,0,0,None,0
60923.12,Enemy Territory: Quake Wars,First-Person Shooter,27,4,United States,28000.01
54600,Escape from Tarkov,First-Person Shooter,96,2,United States,21400
1311.6,Eternal Fighter Zero,Fighting Game,7,2,United States,1133.39
131509.05,Evolve,First-Person Shooter,110,33,United States,79839.27
178000,F.E.A.R.,First-Person Shooter,20,5,Sweden,76500
200000,F1 2018,Racing,21,1,United Kingdom,56833.33
538047.38,F1 2019,Racing,25,2,Italy,133333.32
4100,Faeria,Collectible Card Game,12,5,France,1650
302000,Fall Guys,Battle Royale,237,4,United States,242375
3860,Fantasy Strike,Fighting Game,18,3,United States,3714.2
158361.3,Farming Simulator 19,Strategy,84,12,Germany,132590.48
54066.44,FIFA 03,Sports,10,3,Germany,37844.41
40000,FIFA 04,Sports,3,3,"Korea, Republic of",25000
57728.01,FIFA 05,Sports,5,8,Germany,20000
112464.53,FIFA 06,Sports,23,12,Germany,30761.56
237812.23,FIFA 07,Sports,42,13,Canada,55000
207129.94,FIFA 08,Sports,68,17,United Kingdom,53473.11
121618.34,FIFA 09,Sports,52,19,Germany,65418.41
117026.71,FIFA 10,Sports,64,48,Germany,33692.39
93983.77,FIFA 11,Sports,72,78,Portugal,22000
54431.52,FIFA 12,Sports,53,66,Spain,20000
458427.82,FIFA 13,Sports,53,62,Sweden,150750.89
96347.81,FIFA 14,Sports,57,69,Denmark,21250
144373.99,FIFA 15,Sports,169,352,France,34394.05
117828.11,FIFA 16,Sports,61,28,Germany,35842.63
1482612.63,FIFA 17,Sports,156,48,United Kingdom,382513.48
2233697.69,FIFA 18,Sports,238,48,Saudi Arabia,525250
3242642.34,FIFA 19,Sports,303,48,Germany,612962.72
1144673.72,FIFA 20,Sports,248,39,United Kingdom,205613.04
50000,FIFA 2000,Sports,4,1,"Korea, Republic of",50000
46000,FIFA 2001,Sports,9,2,"Korea, Republic of",22000
43000,FIFA 2002 World Cup,Sports,8,1,"Korea, Republic of",31000
1434341.9,FIFA Online 3,Sports,89,9,"Korea, Republic of",621372.88
679240,FIFA Online 4,Sports,84,4,"Korea, Republic of",213999.96
580.68,Fight of Animals,Fighting Game,7,3,United States,355.36
195,Fighter's History Dynamite,Fighting Game,3,1,Japan,195
1642.96,Fighting EX Layer,Fighting Game,16,7,United States,1386.48
97508425,Fortnite,Battle Royale,4347,660,United States,33422756.37
222000,Forza Motorsport 2,Racing,17,2,United Kingdom,125000
11000,Forza Motorsport 3,Racing,3,2,United Kingdom,7000
132.37,Forza Motorsport 4,Racing,2,1,Finland,132.37
66350,Forza Motorsport 6,Racing,35,9,United States,24050
800200,Forza Motorsport 7,Racing,118,12,United Kingdom,246033.36
1006392.23,Free Fire,Battle Royale,291,14,Thailand,355385.22
658.71,Garou: Mark of the Wolves,Fighting Game,13,4,United States,318.16
1223000,Gears 5,Third-Person Shooter,140,18,United States,664050
252195.57,Gears of War,Third-Person Shooter,33,18,United States,4878.3
135000,Gears of War 2,Third-Person Shooter,0,5,None,0
7255.81,Gears of War 3,Third-Person Shooter,13,4,United States,2500
3087285,Gears of War 4,Third-Person Shooter,135,41,United States,2081425
170000,Gears of War: Ultimate Edition,Third-Person Shooter,39,3,United States,133500
24000,Ghost Recon Advanced Warfighter,First-Person Shooter,0,2,None,0
3250,Gran Turismo 3: A-Spec,Racing,4,2,United States,3250
44000,Gran Turismo 4,Racing,5,2,France,40000
25564,Gran Turismo Sport,Racing,28,6,Malaysia,20160
0,Gray Basin,First-Person Shooter,0,0,None,0
36400,Grey Goo,Strategy,18,5,Netherlands,11250
218.75,GRID (2019),Racing,3,1,United Kingdom,218.75
476005.5,Guild Wars 2,Role-Playing Game,152,57,United States,161799.53
32,Guilty Gear,Fighting Game,3,1,United States,32
36437.43,Guilty Gear Xrd -REVELATOR-,Fighting Game,61,19,Japan,24055.2
37445.66,Guilty Gear Xrd -SIGN-,Fighting Game,80,38,Japan,22729.5
116634.7,Guilty Gear Xrd REV 2,Fighting Game,101,49,Japan,71752.66
0,Guilty Gear XX,Fighting Game,5,2,United Kingdom,0
0,Guilty Gear XX #Reload,Fighting Game,3,1,Japan,0
10365,Guilty Gear XX Accent Core,Fighting Game,33,4,United States,7948.34
0,Guilty Gear XX Accent Core Plus,Fighting Game,3,1,Saudi Arabia,0
4640,Guilty Gear XX Accent Core Plus R,Fighting Game,61,19,United States,2681
10250,Guilty Gear XX Slash,Fighting Game,6,2,Japan,7000.02
10500,Guitar Hero 5,Sports,3,1,France,6000
19000,Guitar Hero III: Legends of Rock,Sports,8,2,United States,18250
0,Guitar Hero: World Tour,Sports,0,0,None,0
280,Gundam Versus,First-Person Shooter,6,1,United States,280
198750,Guns of Boom,First-Person Shooter,8,21,United Kingdom,20887.5
841757.17,Gwent,Collectible Card Game,320,110,Germany,264979.87
2067122,H1Z1,Battle Royale,119,13,United States,1255333.44
1489362.47,Halo 2,First-Person Shooter,119,71,United States,1392257.62
468705.05,Halo 2 Anniversary,First-Person Shooter,97,20,United States,406262.5
2158079.4,Halo 3,First-Person Shooter,210,41,United States,1993437.1
430748.76,Halo 4,First-Person Shooter,66,19,United States,419402.56
7071480.97,Halo 5: Guardians,First-Person Shooter,233,75,United States,5359312.23
299281,Halo: Combat Evolved,First-Person Shooter,114,39,United States,183416
0,Halo: Infinite,First-Person Shooter,0,0,None,0
822089.97,Halo: Reach,First-Person Shooter,101,29,United States,747862.6
94434.2,Hand of the Gods,Collectible Card Game,48,36,United States,24040
23098378.24,Hearthstone,Collectible Card Game,2423,898,China,3598395.2
12339.33,Heavy Metal Machines,Multiplayer Online Battle Arena,35,1,Russian Federation,6933.57
2915206.56,Heroes of Newerth,Multiplayer Online Battle Arena,813,371,Sweden,669252.19
18177982.65,Heroes of the Storm,Multiplayer Online Battle Arena,1250,463,"Korea, Republic of",5808630.38
145,Hokuto no Ken,Fighting Game,3,1,Japan,145
299000,Hyper Scape,Multiplayer Online Battle Arena,260,4,United States,135116.66
10250,Hyper Street Fighter II,Fighting Game,8,1,United States,8750
50,HYPERFIGHT,Fighting Game,3,1,United States,35
835742.83,Injustice 2,Fighting Game,81,37,United States,637431.55
35176.89,Injustice: Gods Among Us,Fighting Game,101,117,United States,34510
10000,Internet Chess Club,Strategy,6,1,Azerbaijan,3000
1198206.13,iRacing.com,Racing,759,94,United States,440371.79
0,Iron Harvest,Strategy,0,0,None,0
0,Ironsight,First-Person Shooter,0,0,None,0
0,Islands of Nyne,First-Person Shooter,0,0,None,0
284.99,JoJo's Bizarre Adventure: Heritage for the Future,Fighting Game,5,2,United States,261.5
225,Jstris,Puzzle Game,8,1,United States,166.25
0,Just Dance 2014,Sports,3,1,Brazil,0
567366.35,KartRider,Racing,76,20,"Korea, Republic of",560130.35
920,Kill la Kill the Game: IF,Fighting Game,12,4,United States,389.5
224466.96,Killer Instinct (2013),Fighting Game,128,53,United States,213827.07
760,King of Fighters 2002 Unlimited Match,Fighting Game,6,2,United States,380
7945.57,King of Fighters 98,Fighting Game,7,3,China,7399.51
25,King of Fighters XI,Fighting Game,3,1,United States,25
44724.28,King of Fighters XIII,Fighting Game,107,43,Mexico,13208.75
72902.09,King of Fighters XIV,Fighting Game,90,37,Japan,18483
1665,Koihime Enbu,Fighting Game,13,6,United States,816
79003448.94,League of Legends,Multiplayer Online Battle Arena,7130,2477,"Korea, Republic of",26739426.14
472.66,Legend of Glory,Multiplayer Online Battle Arena,0,1,None,0
118481.03,Legends of Runeterra,Collectible Card Game,30,5,United States,48000
2172.9,Lethal League Blaze,Fighting Game,15,8,United Kingdom,861.28
827768.91,Lichess,Strategy,200,75,United States,415335
9219.14,Live for Speed,Racing,16,8,Germany,9019.72
20163,Mad Skills Motocross 2,Racing,12,1,United States,9175
125000,Madden NFL 19,Sports,5,3,United States,125000
1500,Madden NFL 2004,Sports,3,1,United States,1500
100000,Madden NFL 2006,Sports,1,1,United States,100000
100000,Madden NFL 2007,Sports,1,1,United States,100000
100000,Madden NFL 2008,Sports,1,1,United States,100000
100000,Madden NFL 2009,Sports,1,1,United States,100000
400000,Madden NFL 2013,Sports,8,1,United States,209200
50000,Madden NFL 2016,Sports,8,1,United States,50000
1004000,Madden NFL 2017,Sports,42,5,United States,1004000
279676.62,Madden NFL 2018,Sports,40,3,United States,230567.66
5512000,Magic: The Gathering Arena,Collectible Card Game,232,36,United States,1229725
1218000,Magic: The Gathering Online,Collectible Card Game,130,10,United States,446000
130,Magical Drop III,Puzzle Game,3,1,United States,130
200,Maiden & Spell,Fighting Game,3,1,United States,140
1754.44,Mario Kart 8 Deluxe,Racing,30,4,United States,1244.5
61.3,Mario Tennis Aces,Sports,6,2,Germany,43.2
39060,Marvel vs. Capcom 2,Fighting Game,60,28,United States,39060
22343.62,Marvel vs. Capcom 3,Fighting Game,38,12,United States,17767
42482.12,Marvel vs. Capcom: Infinite,Fighting Game,49,19,United States,42052.42
143490,MechWarrior Online,First-Person Shooter,0,1,None,0
0,Melty Blood: Actress Again,Fighting Game,10,2,Japan,0
8587.76,Melty Blood: Actress Again Current Code,Fighting Game,48,18,United States,5755.82
8000,Metal Gear Online,First-Person Shooter,37,8,Japan,2000.04
7430,Million Arthur: Arcana Blood,Fighting Game,9,3,Japan,7000
279539.15,Minecraft,Multiplayer Online Battle Arena,81,14,United States,119775
225,MOBA Legends,Multiplayer Online Battle Arena,3,1,United States,225
0,Mobile Legends: Bang Bang,Multiplayer Online Battle Arena,0,0,None,0
16623,Mordhau,Fighting Game,40,3,United States,7885
392602.33,Mortal Kombat 11,Fighting Game,158,37,United States,271196.3
136891.67,Mortal Kombat 9,Fighting Game,67,26,United States,136719.5
0,Mortal Kombat vs. DC Universe,Fighting Game,3,1,United States,0
523532.42,Mortal Kombat X,Fighting Game,100,62,United States,411599.58
129203.79,Mortal Kombat XL,Fighting Game,50,17,United States,81834.47
148384.33,Multigaming,Strategy,19,3,France,148384.38
10995,Mystery Game Tournament,Fighting Game,56,8,United States,10985
4550,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting Game,7,5,United States,1200
200,Naruto: Gekitou Ninja Taisen! 4,Fighting Game,3,1,United States,200
200500,NASCAR Heat 4,Racing,34,5,United States,200500
7679.25,NASCAR Thunder 2002,Racing,0,1,None,0
5933.5,NASCAR Thunder 2003,Racing,0,1,None,0
0,NBA 2K Online,Sports,0,0,None,0
1000000,NBA 2K18,Sports,91,4,United States,940633.24
0,NBA 2K19,Sports,0,0,None,0
36322.58,Need for Speed Carbon,Racing,12,4,Brazil,12000
35694.54,Need for Speed: Most Wanted,Racing,18,7,Russian Federation,30416.72
32208.46,Need for Speed: ProStreet,Racing,12,3,Russian Federation,22000
10500,Need for Speed: Shift,Racing,3,1,Netherlands,6000
35000,Need for Speed: Underground,Racing,3,1,Germany,20000
35629.48,Need for Speed: Underground 2,Racing,8,3,Brazil,30000
3818.56,NHL '94,Sports,25,8,Canada,2633.34
702.93,NHL 12,Sports,6,2,Finland,702.95
70000,NHL 13,Sports,1,1,United States,70000
3023.96,NHL 14,Sports,6,3,Canada,723.17
3157.16,NHL 15,Sports,3,3,Finland,391.9
0,NHL 17,Sports,0,0,None,0
102700,NHL 18,Sports,20,6,Finland,52500
22566.67,NHL 19,Sports,10,8,United States,17200
1994,Nitroplus Blasterz: Heroines Infinite Duel,Fighting Game,10,4,United States,1718
422504.2,Old School Runescape,Role-Playing Game,66,22,United Kingdom,170313.7
23100,osu!,Strategy,971,7,United States,8975.5
26049333.28,Overwatch,First-Person Shooter,3494,743,"Korea, Republic of",13127719.69
0,Pac-man,Puzzle Game,0,0,None,0
1015000,Painkiller,First-Person Shooter,48,13,United States,299225
2136366.6,Paladins,First-Person Shooter,575,67,United States,566877.41
40,Panel Attack,Puzzle Game,3,1,Brazil,24
6336.63,Persona 4 Arena,Fighting Game,42,11,United States,2751
18828.16,Persona 4 Arena Ultimax,Fighting Game,58,19,Japan,14777.5
32866.58,Playchess.com,Strategy,116,9,Azerbaijan,13050.42
3764853.07,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,Battle Royale,1055,39,China,914193.07
23710378.57,PLAYERUNKNOWN'S BATTLEGROUNDS,Battle Royale,2754,294,"Korea, Republic of",6136956.62
60,Pocket Rumble,Fighting Game,3,1,United States,60
699167.75,Point Blank,First-Person Shooter,297,32,Russian Federation,212436.26
0,Pokémon TGC,Strategy,0,0,None,0
211500,Pokémon VGC,Strategy,170,24,United States,82250
77016.66,Pokken Tournament,Strategy,62,25,Japan,36043.89
20275.4,PokkÃ©n Tournament DX,Strategy,43,26,United States,10703.46
50,Power Instinct: Matrimelee,Fighting Game,3,1,Spain,45
1390,Power Rangers: Battle for the Grid,Fighting Game,11,4,United States,1387
4178.55,Power Rangers: Legacy Wars,Fighting Game,2,1,Sweden,4178.55
2084.15,Pro Evolution Soccer 2008,Sports,6,3,France,1390.1
1395.97,Pro Evolution Soccer 2009,Sports,5,2,Germany,775.32
0,Pro Evolution Soccer 2013,Sports,0,0,None,0
29410.25,Pro Evolution Soccer 2014,Sports,4,1,Greece,17646.15
26544.76,Pro Evolution Soccer 2015,Sports,3,1,France,17311.8
27243.84,Pro Evolution Soccer 2016,Sports,17,6,France,16953.63
514697.71,Pro Evolution Soccer 2017,Sports,39,16,Brazil,206000
250000,Pro Evolution Soccer 2018,Sports,20,3,Italy,108000
216000,Pro Evolution Soccer 2019,Sports,25,2,Brazil,93400
25000,Pro Evolution Soccer 3,Sports,8,2,France,10000
40550.64,Pro Evolution Soccer 4,Sports,11,2,Saudi Arabia,13000
32000,Pro Evolution Soccer 5,Sports,4,1,France,22000
20216.82,Pro Evolution Soccer 6,Sports,5,2,Germany,13000
67908.21,Project Cars,Racing,50,113,France,30590
66150,Project Cars 2,Racing,37,22,France,12050
35000,Project Gotham Racing 2,Racing,4,2,Netherlands,25000
297286.85,Project Gotham Racing 3,Racing,33,10,United States,200000
25208.46,Project Gotham Racing 4,Racing,5,4,Netherlands,13854.23
165,Project Justice,Fighting Game,3,1,Japan,132
205292.09,Project M,Fighting Game,560,335,United States,164361.47
20,Project Plus,Fighting Game,3,1,United States,20
13000,Prophecy,Strategy,27,4,United States,10400
300,Punch Planet,Fighting Game,3,1,United States,300
2482.3,Puyo Puyo Champions,Puzzle Game,14,5,Japan,1462.6
3422.84,Puyo Puyo Tetris,Puzzle Game,31,16,United States,1672.83
556678.51,Quake 4,First-Person Shooter,100,52,Sweden,231225.67
2409118.25,Quake Champions,First-Person Shooter,250,239,United States,675806.05
140179.5,Quake II,First-Person Shooter,32,10,United States,100600
1137832.19,Quake III Arena,First-Person Shooter,243,100,United States,534686.05
682294.04,Quake Live,First-Person Shooter,213,410,United States,235711.84
103251.7,QuakeWorld,First-Person Shooter,47,15,United States,36325
102918.7,RaceRoom Racing Experience,Racing,143,18,Germany,45210.29
120000,Radical Heights,Battle Royale,12,2,United States,50000
5000,Rage,First-Person Shooter,3,1,United States,5000
12214525.74,Rainbow Six Siege,First-Person Shooter,1552,228,United States,2959315.46
176400.77,Rainbow Six: Vegas,First-Person Shooter,137,7,United States,53737.32
79000,Rainbow Six: Vegas 2,First-Person Shooter,0,8,None,0
263000,Realm Royale,First-Person Shooter,47,9,United States,208250
58000,Red Stone,Role-Playing Game,12,2,"Korea, Republic of",34000
2158.4,Reflex,First-Person Shooter,21,7,Netherlands,932.74
67424.3,Return to Castle Wolfenstein,First-Person Shooter,30,3,United States,18833.34
15083.56,rFactor,Racing,51,4,Netherlands,4210.55
1222855.26,rFactor 2,Racing,196,42,Netherlands,281543.31
70000,Ring of Elysium,Battle Royale,9,4,United States,17500
69600,Rise of Nations: Rise of Legends,Strategy,8,1,"Korea, Republic of",40000
1000,Rising Thunder,Fighting Game,3,1,United States,1000
37787,Rivals of Aether,Fighting Game,43,15,United States,35145.9
100000,Rocket Arena,Battle Royale,24,3,United States,95700
9171818.72,Rocket League,Sports,1086,1087,United States,2894739.17
50,Roof Rage,Fighting Game,3,1,Canada,30
0,Rules Of Survival,Battle Royale,0,0,None,0
132532.93,S.K.I.L.L. - Special Force 2,First-Person Shooter,82,21,Germany,25836.34
4901.26,S.T.A.L.K.E.R.: Shadow of Chernobyl,First-Person Shooter,0,1,None,0
3201.19,Sailor Moon S,Fighting Game,18,11,United States,1853.11
68009.91,Samurai Shodown (2019),Fighting Game,58,15,"Korea, Republic of",28374
30,Samurai Shodown III,Fighting Game,3,1,United States,30
590.57,Samurai Shodown V Special,Fighting Game,15,5,United States,432.74
100,Schwarzerblitz,Fighting Game,3,1,United States,70
0,Sea of Thieves,Strategy,0,0,None,0
19596,Sekiro: Shadows Die Twice,Fighting Game,20,1,United States,7456
24000,Shadowrun,First-Person Shooter,0,3,None,0
3211177.09,Shadowverse,Collectible Card Game,239,42,Japan,1633309.47
0,Shardbound,Collectible Card Game,0,0,None,0
1029.21,Shards of War,Multiplayer Online Battle Arena,20,1,Russian Federation,777.66
261687.04,ShootMania Storm,First-Person Shooter,80,40,France,103365.62
60,Shovel Knight Showdown,Fighting Game,3,1,United States,60
50,Shrek SuperSlam,Fighting Game,3,1,United States,35
300,Skullgirls,Fighting Game,3,1,United States,300
18321,Skullgirls 2nd Encore,Fighting Game,34,12,United States,16416.4
9155.4,Skullgirls Encore,Fighting Game,37,13,United States,8433.4
300,Slap City,Fighting Game,3,1,Canada,180
500,SLAYERS FOR HIRE,Fighting Game,8,1,United States,490
8640112.75,SMITE,Multiplayer Online Battle Arena,522,95,United States,3512644.34
430,SNK Heroines: Tag Team Frenzy,Fighting Game,3,1,Japan,365.5
0,Soccer Stars,Sports,0,0,None,0
4790,Soul Calibur II,Fighting Game,15,7,United States,3590
945.41,Soul Calibur II HD Online,Fighting Game,29,5,United States,860
100260,Soul Calibur IV,Fighting Game,4,3,United States,100260
60008.54,Soul Calibur V,Fighting Game,78,26,United States,37730
109895.21,Soul Calibur VI,Fighting Game,101,49,United States,59002.2
130250,Special Force,First-Person Shooter,0,3,None,0
50,Speedrunners,Racing,3,1,United States,30
1390,Splatoon,First-Person Shooter,3,4,Japan,180
10055,Splatoon 2,First-Person Shooter,13,7,United States,1270
50000,Splitgate: Arena Warfare,Multiplayer Online Battle Arena,64,2,United States,45125
7679.25,Star Wars Jedi Knight II: Jedi Outcast,First-Person Shooter,0,1,None,0
33914062.96,StarCraft II,Strategy,2078,5909,"Korea, Republic of",20635189.05
8251181.43,StarCraft: Brood War,Strategy,674,571,"Korea, Republic of",7577721.71
54250,Stardew Valley,Role-Playing Game,56,2,United States,38650
1390,Street Fighter Alpha 2,Fighting Game,17,8,United States,1217.5
300,Street Fighter Alpha 3,Fighting Game,15,4,United States,300
350,Street Fighter EX2 Plus,Fighting Game,5,2,United States,214
49378.86,Street Fighter III: 3rd Strike,Fighting Game,83,35,Japan,27154
7938.22,Street Fighter IV,Fighting Game,41,12,Japan,3792.96
2202726.43,Street Fighter V,Fighting Game,233,120,United States,729298.52
2017135.95,Street Fighter V: Arcade Edition,Fighting Game,229,100,Japan,912761.05
33628.66,Street Fighter V: Champion Edition,Fighting Game,10,2,Japan,32628.66
84090.64,Street Fighter X Tekken,Fighting Game,115,93,"Korea, Republic of",32667.58
0,Sudden Attack,First-Person Shooter,0,0,None,0
220,Super Mario Party,Strategy,4,1,Canada,220
68082.81,Super Smash Bros.,Fighting Game,234,123,United States,30482.95
